implementation,shape,ny,nx,seed,processes,run,time_seconds,compute_fraction
seq,square,32768,32768,42,1,1,299.09329035133123,0.6947518005158565
seq,square,32768,32768,42,1,2,295.81775384768844,0.70194417382801244
seq,square,32768,32768,42,1,3,295.5716165676713,0.7018611493307374
seq,square,32768,32768,42,1,4,295.59710579365492,0.70197457463252477
seq,square,32768,32768,42,1,5,309.20971363410354,0.67155638258595329
mpi,square,32768,32768,42,1,1,316.19677352160215,0.66038460720974645
mpi,square,32768,32768,42,1,2,332.28112254291773,0.62790521700619117
mpi,square,32768,32768,42,1,3,316.67362371832132,0.65658799034867621
mpi,square,32768,32768,42,1,4,313.99001289531589,0.66006976297714948
mpi,square,32768,32768,42,1,5,314.16051882877946,0.65971979581914109
mpi,square,32768,32768,42,2,1,155.24192871525884,0.66842984044126452
mpi,square,32768,32768,42,2,2,155.22853386774659,0.66883330633498683
mpi,square,32768,32768,42,2,3,165.71976463869214,0.63685293546494115
mpi,square,32768,32768,42,2,4,155.77071310207248,0.6670012260840682
mpi,square,32768,32768,42,2,5,155.95247790589929,0.67076461038015345
mpi,square,32768,32768,42,4,1,87.007358498871326,0.59717816261553991
mpi,square,32768,32768,42,4,2,83.68062811344862,0.62074773832070862
mpi,square,32768,32768,42,4,3,84.275105193257332,0.61681927693419158
mpi,square,32768,32768,42,4,4,84.242254357784986,0.61712074321141308
mpi,square,32768,32768,42,4,5,84.909515388309956,0.61294424624052724
mpi,square,32768,32768,42,8,1,44.163847476243973,0.58904159964569247
mpi,square,32768,32768,42,8,2,42.684778019785881,0.60901217975410482
mpi,square,32768,32768,42,8,3,42.940865412354469,0.60789999834584785
mpi,square,32768,32768,42,8,4,43.202113781124353,0.60217330812190051
mpi,square,32768,32768,42,8,5,43.466631878167391,0.59791007987734579
mpi,square,32768,32768,42,16,1,22.083720713853836,0.59139019451993668
mpi,square,32768,32768,42,16,2,21.965349890291691,0.59640937884519984
mpi,square,32768,32768,42,16,3,23.601214680820704,0.58915355604800557
mpi,square,32768,32768,42,16,4,21.828836102038622,0.59787587941234799
mpi,square,32768,32768,42,16,5,21.792620617896318,0.59952051369054293
mpi,square,32768,32768,42,32,1,21.534516952931881,0.35711211841497897
mpi,square,32768,32768,42,32,2,21.308002255856991,0.35892515242955136
mpi,square,32768,32768,42,32,3,21.478291649371386,0.35635074286200769
mpi,square,32768,32768,42,32,4,21.757577888667583,0.3502664199596075
mpi,square,32768,32768,42,32,5,21.388363178819418,0.35679592383898029
mpi,square,32768,32768,42,64,1,22.031735371798277,0.24388294652611608
mpi,square,32768,32768,42,64,2,22.34155061468482,0.23880518580390389
mpi,square,32768,32768,42,64,3,22.417605184018612,0.25775487321806734
mpi,square,32768,32768,42,64,4,22.302180353552103,0.24089306867840687
mpi,square,32768,32768,42,64,5,22.337581161409616,0.24291489532281035
seq,wide,16384,65536,42,1,1,297.72163422033191,0.70111479359553874
seq,wide,16384,65536,42,1,2,297.35316432267427,0.70266041749609753
seq,wide,16384,65536,42,1,3,296.83180310204625,0.70231603223442707
seq,wide,16384,65536,42,1,4,298.32047513499856,0.70360523509225315
seq,wide,16384,65536,42,1,5,304.76065967231989,0.68437008295878754
mpi,wide,16384,65536,42,1,1,315.57437720522285,0.66035754690864457
mpi,wide,16384,65536,42,1,2,316.10491885617375,0.66071090006932509
mpi,wide,16384,65536,42,1,3,320.7653704546392,0.65105661611255894
mpi,wide,16384,65536,42,1,4,324.34452526643872,0.64432303494275911
mpi,wide,16384,65536,42,1,5,340.38444850221276,0.61285395774756224
mpi,wide,16384,65536,42,2,1,155.92547705769539,0.66966623791547908
mpi,wide,16384,65536,42,2,2,157.17568226903677,0.66609587210976462
mpi,wide,16384,65536,42,2,3,156.13842729106545,0.66818247958226784
mpi,wide,16384,65536,42,2,4,161.59388970211148,0.64551423076016146
mpi,wide,16384,65536,42,2,5,160.01260133087635,0.66049019572553791
mpi,wide,16384,65536,42,4,1,83.738118216395378,0.62354327011759836
mpi,wide,16384,65536,42,4,2,84.575410954654217,0.61785132673349752
mpi,wide,16384,65536,42,4,3,87.034750387072563,0.60928248195909229
mpi,wide,16384,65536,42,4,4,83.882463596761227,0.62152098920988508
mpi,wide,16384,65536,42,4,5,84.992143832147121,0.61587478215013602
mpi,wide,16384,65536,42,8,1,43.824780162423849,0.5970464463949311
mpi,wide,16384,65536,42,8,2,43.017097923904657,0.60908868126596205
mpi,wide,16384,65536,42,8,3,43.353550229221582,0.60413842785699323
mpi,wide,16384,65536,42,8,4,43.003323491662741,0.60862515928933969
mpi,wide,16384,65536,42,8,5,42.778362091630697,0.61142954577715025
mpi,wide,16384,65536,42,16,1,23.41584237664938,0.58150526958511672
mpi,wide,16384,65536,42,16,2,21.997482795268297,0.59934862308482151
mpi,wide,16384,65536,42,16,3,22.661276511847973,0.59904083547178422
mpi,wide,16384,65536,42,16,4,22.798464555293322,0.59393611735467966
mpi,wide,16384,65536,42,16,5,21.966299690306187,0.59803666836226954
mpi,wide,16384,65536,42,32,1,21.578405890613794,0.35739545996888877
mpi,wide,16384,65536,42,32,2,21.464431170374155,0.3569648502797787
mpi,wide,16384,65536,42,32,3,21.423544503748417,0.35969593901402352
mpi,wide,16384,65536,42,32,4,21.455650556832552,0.35953623597464596
mpi,wide,16384,65536,42,32,5,21.36674489825964,0.36175615849122822
mpi,wide,16384,65536,42,64,1,22.049620602279902,0.2401229797963767
mpi,wide,16384,65536,42,64,2,22.013385999947786,0.2459976949635726
mpi,wide,16384,65536,42,64,3,22.107153929769993,0.24472855388212642
mpi,wide,16384,65536,42,64,4,21.947658468037844,0.24709116764391498
mpi,wide,16384,65536,42,64,5,22.187856711447239,0.24604639028976755
seq,tall,65536,16384,42,1,1,296.49726445972919,0.70254252498227232
seq,tall,65536,16384,42,1,2,297.06235747411847,0.70263872691431595
seq,tall,65536,16384,42,1,3,297.04871070384979,0.70357534555179801
seq,tall,65536,16384,42,1,4,297.1367420181632,0.70290021913394507
seq,tall,65536,16384,42,1,5,296.46980160474777,0.7032027529592203
mpi,tall,65536,16384,42,1,1,315.46831637620926,0.66062712082474184
mpi,tall,65536,16384,42,1,2,317.89726760238409,0.66257763084952392
mpi,tall,65536,16384,42,1,3,315.1169415153563,0.66030250320248485
mpi,tall,65536,16384,42,1,4,316.71205427497625,0.66214736254631645
mpi,tall,65536,16384,42,1,5,315.7458343654871,0.66030400310183601
mpi,tall,65536,16384,42,2,1,156.27804369851947,0.66752641150911352
