implementation,shape,ny,nx,processes,runs,min_seconds,median_seconds,max_seconds,median_compute_fraction,speedup
seq,square,32768,32768,1,5,295.5716165676713,295.81775384768844,309.20971363410354,0.7018611493307374,1.0
mpi,square,32768,32768,1,5,313.9900128953159,316.19677352160215,332.28112254291773,0.6597197958191411,0.9355495647632804
mpi,square,32768,32768,2,5,155.2285338677466,155.77071310207248,165.71976463869214,0.6684298404412645,1.8990588664368944
mpi,square,32768,32768,4,5,83.68062811344862,84.27510519325733,87.00735849887133,0.6168192769341916,3.5101439881840237
mpi,square,32768,32768,8,5,42.68477801978588,43.20211378112435,44.16384747624397,0.6021733081219005,6.847298151807924
mpi,square,32768,32768,16,5,21.79262061789632,21.96534989029169,23.601214680820704,0.5964093788451998,13.46747287546896
mpi,square,32768,32768,32,5,21.30800225585699,21.478291649371386,21.757577888667583,0.3567959238389803,13.77287163601516
mpi,square,32768,32768,64,5,22.031735371798277,22.337581161409616,22.417605184018612,0.24291489532281035,13.243052222625739
seq,wide,16384,65536,1,5,296.83180310204625,297.7216342203319,304.7606596723199,0.7023160322344271,1.0
mpi,wide,16384,65536,1,5,315.57437720522285,320.7653704546392,340.38444850221276,0.6510566161125589,0.9281601495771004
mpi,wide,16384,65536,2,5,155.9254770576954,157.17568226903677,161.59388970211148,0.6660958721097646,1.8941965444166062
mpi,wide,16384,65536,4,5,83.73811821639538,84.57541095465422,87.03475038707256,0.6178513267334975,3.520191399128498
mpi,wide,16384,65536,8,5,42.7783620916307,43.01709792390466,43.82478016242385,0.6086251592893397,6.921006962091871
mpi,wide,16384,65536,16,5,21.966299690306187,22.661276511847973,23.41584237664938,0.5980366683622695,13.137902185901769
mpi,wide,16384,65536,32,5,21.36674489825964,21.455650556832552,21.578405890613794,0.35953623597464596,13.876141086084312
mpi,wide,16384,65536,64,5,21.947658468037844,22.0496206022799,22.18785671144724,0.2459976949635726,13.502347255333177
seq,tall,65536,16384,1,5,296.4698016047478,297.0487107038498,297.1367420181632,0.7029002191339451,1.0
mpi,tall,65536,16384,1,5,315.1169415153563,315.7458343654871,317.8972676023841,0.6606271208247418,0.9407842586452155
mpi,tall,65536,16384,2,5,155.65552008152008,156.27804369851947,164.8661258481443,0.6673311511948498,1.9007705988238188
mpi,tall,65536,16384,4,5,83.5406881980598,84.34766902774572,84.79217905923724,0.6187419159581161,3.521718076241528
mpi,tall,65536,16384,8,5,42.69111452996731,42.800898149609566,43.698618210852146,0.6100442193326261,6.940244797329317
mpi,tall,65536,16384,16,5,21.892574176192284,21.976153392344713,23.40899296849966,0.5962914626046675,13.516865549697394
mpi,tall,65536,16384,32,5,21.338205706328154,21.419487345963717,21.4700148999691,0.3593663272899312,13.868152206725227
mpi,tall,65536,16384,64,5,22.018056590110064,22.039243169128895,22.153400044888258,0.24966227835519775,13.47817202361721
