implementation,shape,ny,nx,seed,processes,run,time_seconds,compute_fraction
seq,square,8192,8192,42,1,1,16.014939237385988,0.6590858369915964
seq,square,8192,8192,42,1,2,15.977579046040773,0.6592874353549889
seq,square,8192,8192,42,1,3,15.978114306926727,0.65913730023629247
seq,square,8192,8192,42,1,4,16.030149023979902,0.65812550234029799
seq,square,8192,8192,42,1,5,16.031624652445316,0.65966319123970296
seq,square,8192,8192,42,1,6,15.996790632605553,0.65900222274635778
seq,square,8192,8192,42,1,7,15.984857853502035,0.65927769378523204
seq,square,8192,8192,42,1,8,15.993779707700014,0.65955178407318915
seq,square,8192,8192,42,1,9,15.987883795052767,0.65934218001407086
seq,square,8192,8192,42,1,10,16.02019951865077,0.66004303061787517
seq,square,8192,8192,42,1,11,15.998975533992052,0.65909061857903872
seq,square,8192,8192,42,1,12,15.981274917721748,0.65861426591894101
seq,square,8192,8192,42,1,13,15.989306274801493,0.65986826628178397
seq,square,8192,8192,42,1,14,16.043965790420771,0.65979877905569895
seq,square,8192,8192,42,1,15,16.012693911790848,0.65949213974452325
seq,square,8192,8192,42,1,16,15.991103176027536,0.65900665541449888
seq,square,8192,8192,42,1,17,15.978228356689215,0.65898382748996531
seq,square,8192,8192,42,1,18,16.013857517391443,0.6595882901824901
seq,square,8192,8192,42,1,19,16.005698710680008,0.65875491753394511
seq,square,8192,8192,42,1,20,15.996476318687201,0.6587410440290038
mpi,square,8192,8192,42,1,1,17.20312874764204,0.61366035603863711
mpi,square,8192,8192,42,1,2,17.230935525149107,0.61290382214971662
mpi,square,8192,8192,42,1,3,17.145324390381575,0.61325137200513946
mpi,square,8192,8192,42,1,4,18.101694829761982,0.58467100493220825
mpi,square,8192,8192,42,1,5,17.172395274043083,0.61397927986561851
mpi,square,8192,8192,42,1,6,17.173077039420605,0.61407469282568228
mpi,square,8192,8192,42,1,7,18.074097409844398,0.58372368493045423
mpi,square,8192,8192,42,1,8,17.23662494122982,0.6148527578708689
mpi,square,8192,8192,42,1,9,17.289707064628601,0.61754645724707713
mpi,square,8192,8192,42,1,10,17.184314291924238,0.61397159968967352
mpi,square,8192,8192,42,1,11,17.1668506488204,0.61450005723742318
mpi,square,8192,8192,42,1,12,17.164343681186438,0.61362117487945633
mpi,square,8192,8192,42,1,13,17.162063717842102,0.61488372566023919
mpi,square,8192,8192,42,1,14,17.15562280267477,0.61497219207034981
mpi,square,8192,8192,42,1,15,17.306520257145166,0.61584094209452112
mpi,square,8192,8192,42,1,16,17.269258555024862,0.61551175985233475
mpi,square,8192,8192,42,1,17,17.184960380196571,0.61456488471279702
mpi,square,8192,8192,42,1,18,17.164467327296734,0.61487766135743605
mpi,square,8192,8192,42,1,19,17.181460600346327,0.6147072344707889
mpi,square,8192,8192,42,1,20,17.208008415997028,0.61471215513609001
mpi,square,8192,8192,42,2,1,8.7409704625606537,0.60773147527421134
mpi,square,8192,8192,42,2,2,8.616068359464407,0.61265430037672963
mpi,square,8192,8192,42,2,3,8.6279587633907795,0.61218889941522703
mpi,square,8192,8192,42,2,4,8.6075363904237747,0.61301100075918047
mpi,square,8192,8192,42,2,5,8.6486285775899887,0.61223582983797997
mpi,square,8192,8192,42,2,6,8.6176527142524719,0.61220831617742555
mpi,square,8192,8192,42,2,7,8.7240826189517975,0.60474336517665006
mpi,square,8192,8192,42,2,8,8.6629552058875561,0.61196056023917289
mpi,square,8192,8192,42,2,9,8.6087130680680275,0.61315974312728738
mpi,square,8192,8192,42,2,10,8.6240573041141033,0.61189170724997133
mpi,square,8192,8192,42,2,11,8.6174537502229214,0.6121020233630029
mpi,square,8192,8192,42,2,12,8.6119104139506817,0.61292292197351106
mpi,square,8192,8192,42,2,13,8.6390573866665363,0.6134462662875283
mpi,square,8192,8192,42,2,14,8.6111378967761993,0.61236950772054122
mpi,square,8192,8192,42,2,15,8.6193118132650852,0.61233809607580947
mpi,square,8192,8192,42,2,16,8.6496918871998787,0.61064139737717238
mpi,square,8192,8192,42,2,17,8.6082982607185841,0.61221321979816745
mpi,square,8192,8192,42,2,18,8.669328223913908,0.60974915620364845
mpi,square,8192,8192,42,2,19,8.6180973425507545,0.61202144444018747
mpi,square,8192,8192,42,2,20,8.6155613549053669,0.61226085828855847
mpi,square,8192,8192,42,4,1,4.7076559811830521,0.56304336861919391
mpi,square,8192,8192,42,4,2,4.6323025748133659,0.57246177921602592
mpi,square,8192,8192,42,4,3,4.6459551863372326,0.5712709983662777
mpi,square,8192,8192,42,4,4,4.6172650419175625,0.57387570886732531
mpi,square,8192,8192,42,4,5,4.6271239742636681,0.57266079928928582
mpi,square,8192,8192,42,4,6,4.6360661201179028,0.57116906973308135
mpi,square,8192,8192,42,4,7,4.652041282504797,0.57008840852456599
mpi,square,8192,8192,42,4,8,4.6408473625779152,0.5721911259118444
mpi,square,8192,8192,42,4,9,4.6377424001693726,0.57221197305820215
mpi,square,8192,8192,42,4,10,4.630609642714262,0.57226897426729362
mpi,square,8192,8192,42,4,11,4.6367423087358475,0.57068793632870374
mpi,square,8192,8192,42,4,12,4.65616799518466,0.57113497657973344
mpi,square,8192,8192,42,4,13,4.6519721671938896,0.56954721448592083
mpi,square,8192,8192,42,4,14,4.648105651140213,0.5706043396679169
mpi,square,8192,8192,42,4,15,4.6541107222437859,0.56966868184900876
mpi,square,8192,8192,42,4,16,4.6392395570874214,0.57016346114116701
mpi,square,8192,8192,42,4,17,4.655022457242012,0.56998716618105671
mpi,square,8192,8192,42,4,18,4.6480234749615192,0.56972077540288368
mpi,square,8192,8192,42,4,19,4.6267619132995605,0.57506842655910351
mpi,square,8192,8192,42,4,20,4.6437526680529118,0.57108722693031377
mpi,square,8192,8192,42,8,1,2.3939480818808079,0.55566511697553134
mpi,square,8192,8192,42,8,2,2.3742497824132442,0.55933092416401675
mpi,square,8192,8192,42,8,3,2.3891765363514423,0.55618984823994166
mpi,square,8192,8192,42,8,4,2.3831535279750824,0.55951913825772281
mpi,square,8192,8192,42,8,5,2.3807059749960899,0.55830696731896956
mpi,square,8192,8192,42,8,6,2.3838680796325207,0.55794690576809958
mpi,square,8192,8192,42,8,7,2.3960320129990578,0.55536555397502074
mpi,square,8192,8192,42,8,8,2.3867412246763706,0.55756641413458041
mpi,square,8192,8192,42,8,9,2.3846159055829048,0.55835202663327577
mpi,square,8192,8192,42,8,10,2.4417745098471642,0.55471873497750213
mpi,square,8192,8192,42,8,11,2.3881753571331501,0.55753346360998957
mpi,square,8192,8192,42,8,12,2.3817751854658127,0.56035626100229396
mpi,square,8192,8192,42,8,13,2.3957464657723904,0.55602762163542252
mpi,square,8192,8192,42,8,14,2.3759084455668926,0.55951667839295038
mpi,square,8192,8192,42,8,15,2.3906288705766201,0.55635578355358017
mpi,square,8192,8192,42,8,16,2.3590531349182129,0.56619396355776119
mpi,square,8192,8192,42,8,17,2.4063486307859421,0.5585522545094691
mpi,square,8192,8192,42,8,18,2.3779274821281433,0.55994177397714784
mpi,square,8192,8192,42,8,19,2.3817026242613792,0.56094795511550366
mpi,square,8192,8192,42,8,20,2.3933879286050797,0.5571928605609221
mpi,square,8192,8192,42,16,1,1.6379635594785213,0.43147182232635278
mpi,square,8192,8192,42,16,2,1.2794141955673695,0.52292181281307959
mpi,square,8192,8192,42,16,3,1.3114525713026524,0.50963170714726824
mpi,square,8192,8192,42,16,4,1.3195783458650112,0.50773887652994021
mpi,square,8192,8192,42,16,5,1.3356511853635311,0.50363905133904985
mpi,square,8192,8192,42,16,6,1.2946695499122143,0.51841974073142461
mpi,square,8192,8192,42,16,7,1.2557769194245338,0.53027126134624714
mpi,square,8192,8192,42,16,8,1.3106752261519432,0.51040577566864598
mpi,square,8192,8192,42,16,9,1.2825277931988239,0.52140618350876577
mpi,square,8192,8192,42,16,10,1.2872390896081924,0.51995665942781966
mpi,square,8192,8192,42,16,11,1.3080649487674236,0.51117929244027971
mpi,square,8192,8192,42,16,12,1.3004312627017498,0.5157143312443454
mpi,square,8192,8192,42,16,13,1.3038778528571129,0.51405059110425599
mpi,square,8192,8192,42,16,14,1.2983793132007122,0.51583443488169878
mpi,square,8192,8192,42,16,15,1.2885089218616486,0.52011533329185089
mpi,square,8192,8192,42,16,16,1.3317286670207977,0.50117032978371123
mpi,square,8192,8192,42,16,17,1.2963862605392933,0.5170271433049638
mpi,square,8192,8192,42,16,18,1.3433027043938637,0.50363844123982415
mpi,square,8192,8192,42,16,19,1.2730815522372723,0.52748973608711291
mpi,square,8192,8192,42,16,20,1.2987730354070663,0.51529049830588625
seq,wide,4096,16384,42,1,1,15.98847608268261,0.65700639504441283
seq,wide,4096,16384,42,1,2,15.971880953758955,0.65755695614054221
seq,wide,4096,16384,42,1,3,15.971047457307577,0.65743865894191089
seq,wide,4096,16384,42,1,4,15.98989399895072,0.65798664327891698
seq,wide,4096,16384,42,1,5,15.987785283476114,0.65744698876653052
seq,wide,4096,16384,42,1,6,15.963304571807384,0.65798461446049372
seq,wide,4096,16384,42,1,7,16.002787608653307,0.65704866686880647
seq,wide,4096,16384,42,1,8,15.960846204310656,0.65756830537230715
seq,wide,4096,16384,42,1,9,15.971745658665895,0.65715922169170027
seq,wide,4096,16384,42,1,10,15.986384049057961,0.65739074764125793
seq,wide,4096,16384,42,1,11,15.983244739472866,0.65739233569535682
seq,wide,4096,16384,42,1,12,16.047204717993736,0.65934999247973147
seq,wide,4096,16384,42,1,13,15.979698773473501,0.65741356615682778
seq,wide,4096,16384,42,1,14,15.962184127420187,0.65787827268925958
seq,wide,4096,16384,42,1,15,15.981890045106411,0.6569636706188362
seq,wide,4096,16384,42,1,16,15.963874667882919,0.65686929592881271
seq,wide,4096,16384,42,1,17,15.968770906329155,0.65675294499632264
seq,wide,4096,16384,42,1,18,16.124467745423317,0.65105241832005878
seq,wide,4096,16384,42,1,19,15.960934441536665,0.65752410791280691
seq,wide,4096,16384,42,1,20,15.972697727382183,0.65708408277017205
mpi,wide,4096,16384,42,1,1,17.196181334555149,0.61180057144336719
mpi,wide,4096,16384,42,1,2,17.138264175504446,0.61232641401917476
mpi,wide,4096,16384,42,1,3,17.256487194448709,0.61524948582531103
mpi,wide,4096,16384,42,1,4,17.311839982867241,0.61727078255743917
mpi,wide,4096,16384,42,1,5,17.234281048178673,0.61431886367800925
mpi,wide,4096,16384,42,1,6,17.147725958377123,0.61251706221031621
mpi,wide,4096,16384,42,1,7,17.151572924107313,0.61250621509584779
mpi,wide,4096,16384,42,1,8,17.125685326755047,0.61245993806389865
mpi,wide,4096,16384,42,1,9,17.120369281619787,0.61198077195025535
mpi,wide,4096,16384,42,1,10,17.15959269925952,0.61304280369340147
mpi,wide,4096,16384,42,1,11,17.127919223159552,0.61252060462224311
mpi,wide,4096,16384,42,1,12,17.153359767049551,0.61212469807041925
mpi,wide,4096,16384,42,1,13,17.131792973726988,0.61289311515302691
mpi,wide,4096,16384,42,1,14,17.140935596078634,0.6124293799170929
mpi,wide,4096,16384,42,1,15,17.152987372130156,0.61336922641993541
mpi,wide,4096,16384,42,1,16,17.139762528240681,0.61261751940449427
mpi,wide,4096,16384,42,1,17,17.887863758951426,0.58643131915975988
mpi,wide,4096,16384,42,1,18,18.12179834023118,0.57941960832348316
mpi,wide,4096,16384,42,1,19,17.132299080491066,0.61259768386715374
mpi,wide,4096,16384,42,1,20,17.144146591424942,0.61222270381236188
mpi,wide,4096,16384,42,2,1,8.88247349858284,0.59494067422617258
mpi,wide,4096,16384,42,2,2,8.7529358938336372,0.60176104685873488
mpi,wide,4096,16384,42,2,3,8.6283451765775681,0.60814113238435274
mpi,wide,4096,16384,42,2,4,8.652140598744154,0.60699240113326003
mpi,wide,4096,16384,42,2,5,8.8423334322869778,0.59727231731575714
mpi,wide,4096,16384,42,2,6,8.6903581842780113,0.60402317833038321
mpi,wide,4096,16384,42,2,7,8.7230511195957661,0.60190151848949502
mpi,wide,4096,16384,42,2,8,8.7863409072160721,0.60132717262571278
mpi,wide,4096,16384,42,2,9,8.6895645931363106,0.60461076346365072
mpi,wide,4096,16384,42,2,10,8.737084586173296,0.60183731949012043
mpi,wide,4096,16384,42,2,11,8.6885490640997887,0.60601655610706873
mpi,wide,4096,16384,42,2,12,8.6546036042273045,0.60630705990041855
mpi,wide,4096,16384,42,2,13,8.6858276203274727,0.60369392544586309
mpi,wide,4096,16384,42,2,14,8.8959360308945179,0.5936634682439621
mpi,wide,4096,16384,42,2,15,8.6321484223008156,0.60796865741495809
mpi,wide,4096,16384,42,2,16,8.6357833556830883,0.60893655737289665
mpi,wide,4096,16384,42,2,17,8.6169416643679142,0.60971873601925886
mpi,wide,4096,16384,42,2,18,8.6354343257844448,0.60753767769070954
mpi,wide,4096,16384,42,2,19,8.6771593801677227,0.6067645851445862
mpi,wide,4096,16384,42,2,20,8.6809988953173161,0.60697699173057196
mpi,wide,4096,16384,42,4,1,4.585601594299078,0.57605179280337171
mpi,wide,4096,16384,42,4,2,4.6115920804440975,0.57200725435744804
mpi,wide,4096,16384,42,4,3,4.632072776556015,0.56886815750177944
mpi,wide,4096,16384,42,4,4,4.6302376799285412,0.56963836313553007
mpi,wide,4096,16384,42,4,5,4.6451635286211967,0.56820914294733704
mpi,wide,4096,16384,42,4,6,4.648316890001297,0.56732921687277915
mpi,wide,4096,16384,42,4,7,4.619329284876585,0.57062205806070287
mpi,wide,4096,16384,42,4,8,4.6612254120409489,0.56824945776785041
mpi,wide,4096,16384,42,4,9,4.6375748105347157,0.56851796663723453
mpi,wide,4096,16384,42,4,10,4.6269923970103264,0.56994387502122723
mpi,wide,4096,16384,42,4,11,4.6175441406667233,0.57169909567896127
mpi,wide,4096,16384,42,4,12,4.6364760212600231,0.57055809758690756
mpi,wide,4096,16384,42,4,13,4.622234296053648,0.57055721487731059
mpi,wide,4096,16384,42,4,14,4.6344757899641991,0.56868098938999712
mpi,wide,4096,16384,42,4,15,4.6574549190700054,0.56697346227778389
mpi,wide,4096,16384,42,4,16,4.6257765479385853,0.56981242528722176
mpi,wide,4096,16384,42,4,17,4.6239509843289852,0.5698068246718978
mpi,wide,4096,16384,42,4,18,4.6207944676280022,0.57092503014099716
mpi,wide,4096,16384,42,4,19,4.6205338947474957,0.57193750822717526
mpi,wide,4096,16384,42,4,20,4.6335847899317741,0.56921024632798889
mpi,wide,4096,16384,42,8,1,2.3994631581008434,0.55253407243637909
mpi,wide,4096,16384,42,8,2,2.3786428309977055,0.55706501390616592
mpi,wide,4096,16384,42,8,3,2.3606017529964447,0.56206659096350942
mpi,wide,4096,16384,42,8,4,2.3853169120848179,0.55491623472824558
mpi,wide,4096,16384,42,8,5,2.3521843999624252,0.56381569014201183
mpi,wide,4096,16384,42,8,6,2.3732574172317982,0.56125261256843972
mpi,wide,4096,16384,42,8,7,2.3911182060837746,0.55410660735695638
mpi,wide,4096,16384,42,8,8,2.4080174267292023,0.55113865458605926
mpi,wide,4096,16384,42,8,9,2.3981087729334831,0.55147455764181796
mpi,wide,4096,16384,42,8,10,2.3901994936168194,0.55662545366363292
mpi,wide,4096,16384,42,8,11,2.3901902362704277,0.55564452306723688
mpi,wide,4096,16384,42,8,12,2.4181994050741196,0.54763488233081914
mpi,wide,4096,16384,42,8,13,2.3682032041251659,0.55957439992061508
mpi,wide,4096,16384,42,8,14,2.3717352226376534,0.55843021119752523
mpi,wide,4096,16384,42,8,15,2.3897867910563946,0.55567115419433066
mpi,wide,4096,16384,42,8,16,2.3807960599660873,0.55577023514480217
mpi,wide,4096,16384,42,8,17,2.3808767981827259,0.55615157580363961
