implementation,shape,ny,nx,processes,runs,min_seconds,median_seconds,max_seconds,median_compute_fraction,speedup
seq,square,8192,8192,1,20,15.977579046040773,15.996633475646377,16.04396579042077,0.6592074970107622,1.0
mpi,square,8192,8192,1,20,17.145324390381575,17.184637336060405,18.101694829761982,0.6145324709751101,0.9308682611578244
mpi,square,8192,8192,2,20,8.607536390423775,8.61870457790792,8.740970462560654,0.6122107679877965,1.8560368708599309
mpi,square,8192,8192,4,20,4.6172650419175625,4.6423000153154135,4.707655981183052,0.5711111017550237,3.4458422383025393
mpi,square,8192,8192,8,20,2.359053134918213,2.3856785651296377,2.441774509847164,0.5581269365435346,6.705276104443316
mpi,square,8192,8192,16,20,1.2557769194245338,1.299602149054408,1.6379635594785213,0.5155024147751158,12.308869670064446
seq,wide,4096,16384,1,20,15.960846204310656,15.976198250427842,16.124467745423317,0.6574029509260924,1.0
mpi,wide,4096,16384,1,20,17.120369281619787,17.149649441242218,18.12179834023118,0.612511638653082,0.9315757913982539
mpi,wide,4096,16384,2,20,8.616941664367914,8.68718834221363,8.895936030894518,0.6053136597853597,1.839052823661569
mpi,wide,4096,16384,4,20,4.585601594299078,4.628615038469434,4.661225412040949,0.5698096249795598,3.4516152494096306
mpi,wide,4096,16384,8,20,2.3521843999624252,2.389399915933609,2.4181994050741196,0.5557206946695664,6.686280577768192
mpi,wide,4096,16384,16,20,1.2753535322844982,1.3199574779719114,1.506125409156084,0.5067412159577929,12.103570393021263
seq,tall,16384,4096,1,20,15.946749165654182,15.959141941741109,16.95416619628668,0.6580746568213733,1.0
mpi,tall,16384,4096,1,20,17.092802099883556,17.137266213074327,18.28317840397358,0.6129783891231084,0.9312536634090212
mpi,tall,16384,4096,2,20,8.5911911316216,8.636394182220101,8.901975996792316,0.6088459928730725,1.8478941100901205
mpi,tall,16384,4096,4,20,4.610282119363546,4.645560817793012,4.694609019905329,0.5702786644332317,3.4353531398439197
mpi,tall,16384,4096,8,20,2.3785056583583355,2.395655918866396,2.433039829134941,0.5548127193046712,6.661700378613987
mpi,tall,16384,4096,16,20,1.299752302467823,1.3450389746576548,1.5959797352552414,0.5007815696006916,11.865189219370464
