implementation,shape,ny,nx,seed,processes,run,time_seconds,compute_fraction
seq,square,8192,8192,42,1,1,16.03241791203618,0.65828129280616754
seq,square,8192,8192,42,1,2,16.00215607136488,0.65922546845686691
seq,square,8192,8192,42,1,3,15.992465443909168,0.65993062742311737
mpi,square,8192,8192,42,1,1,17.172672137618065,0.61324506327091965
mpi,square,8192,8192,42,1,2,17.140408162027597,0.61502214977588499
mpi,square,8192,8192,42,1,3,17.116503190249205,0.61396838686007826
mpi,square,8192,8192,42,2,1,8.6203403286635876,0.61199168011669103
mpi,square,8192,8192,42,2,2,8.6584772281348705,0.61204280877442352
mpi,square,8192,8192,42,2,3,8.6381629481911659,0.611207968145556
mpi,square,8192,8192,42,4,1,4.5540351718664169,0.58255369838774251
mpi,square,8192,8192,42,4,2,4.6462338604032993,0.57090711625789925
mpi,square,8192,8192,42,4,3,4.6520045846700668,0.56992646175663364
mpi,square,8192,8192,42,8,1,2.4439028389751911,0.55313345824552684
mpi,square,8192,8192,42,8,2,2.3693731725215912,0.5609207024245495
mpi,square,8192,8192,42,8,3,2.3911112956702709,0.55731080811842015
mpi,square,8192,8192,42,16,1,1.3171028718352318,0.50748161035821171
mpi,square,8192,8192,42,16,2,1.2990785166621208,0.51516555889515747
mpi,square,8192,8192,42,16,3,1.2970071770250797,0.51568376322285558
seq,wide,4096,16384,42,1,1,15.984238874167204,0.65705866887791287
seq,wide,4096,16384,42,1,2,15.951716054230928,0.65749598161543799
seq,wide,4096,16384,42,1,3,15.968681205064058,0.65720852659403239
mpi,wide,4096,16384,42,1,1,17.264380637556314,0.61310885381127855
mpi,wide,4096,16384,42,1,2,17.160294231027365,0.61067117285743189
mpi,wide,4096,16384,42,1,3,17.121033456176519,0.61161539768268858
mpi,wide,4096,16384,42,2,1,8.617991279810667,0.60869708199808503
mpi,wide,4096,16384,42,2,2,8.6011238656938076,0.60993588063291515
mpi,wide,4096,16384,42,2,3,8.7019598633050919,0.60253429218991905
mpi,wide,4096,16384,42,4,1,4.6595339402556419,0.56688223173857299
mpi,wide,4096,16384,42,4,2,4.6542318686842918,0.56772231668462403
mpi,wide,4096,16384,42,4,3,4.6463884003460407,0.56872823793566807
mpi,wide,4096,16384,42,8,1,2.3908126167953014,0.55466088508670552
mpi,wide,4096,16384,42,8,2,2.3866302631795406,0.55701633491665892
mpi,wide,4096,16384,42,8,3,2.4101436957716942,0.54962586338858543
mpi,wide,4096,16384,42,16,1,1.3397935554385185,0.4986277191392714
mpi,wide,4096,16384,42,16,2,1.973472785204649,0.36249446559692566
mpi,wide,4096,16384,42,16,3,1.3934710994362831,0.48360692830525059
seq,tall,16384,4096,42,1,1,16.041621640324593,0.65946956806109613
seq,tall,16384,4096,42,1,2,15.95647044479847,0.65839451300995466
seq,tall,16384,4096,42,1,3,15.938174646347761,0.65782663103527794
mpi,tall,16384,4096,42,1,1,17.127616703510284,0.61288057210673008
mpi,tall,16384,4096,42,1,2,17.139721397310495,0.61226238433984004
mpi,tall,16384,4096,42,1,3,17.167166505008936,0.61327327212103111
mpi,tall,16384,4096,42,2,1,8.7665550448000431,0.59871692026579071
mpi,tall,16384,4096,42,2,2,8.6097395345568657,0.60950598663097166
mpi,tall,16384,4096,42,2,3,8.5943408571183681,0.61073253921515458
mpi,tall,16384,4096,42,4,1,4.5608788393437862,0.57971744776224243
mpi,tall,16384,4096,42,4,2,4.6347651965916157,0.5710105840264097
mpi,tall,16384,4096,42,4,3,4.6685330793261528,0.56868591146005676
mpi,tall,16384,4096,42,8,1,2.4332565143704414,0.54859473317387519
mpi,tall,16384,4096,42,8,2,2.3915063999593258,0.55560485690346628
mpi,tall,16384,4096,42,8,3,2.4111503660678864,0.55003711641776454
mpi,tall,16384,4096,42,16,1,1.3185908682644367,0.51023777018539063
mpi,tall,16384,4096,42,16,2,1.3249913416802883,0.50378681604137854
mpi,tall,16384,4096,42,16,3,1.6639119312167168,0.41779947164501785
