implementation,shape,ny,nx,processes,runs,min_seconds,median_seconds,max_seconds,median_compute_fraction,speedup
seq,square,8192,8192,1,3,15.992465443909168,16.00215607136488,16.03241791203618,0.6592254684568669,1.0
mpi,square,8192,8192,1,3,17.116503190249205,17.140408162027597,17.172672137618065,0.6139683868600783,0.9335924745838684
mpi,square,8192,8192,2,3,8.620340328663588,8.638162948191166,8.65847722813487,0.611991680116691,1.8524952779127344
mpi,square,8192,8192,4,3,4.554035171866417,4.646233860403299,4.652004584670067,0.5709071162578992,3.4441133511897464
mpi,square,8192,8192,8,3,2.369373172521591,2.391111295670271,2.443902838975191,0.5573108081184202,6.692351000282148
mpi,square,8192,8192,16,3,1.2970071770250797,1.2990785166621208,1.3171028718352318,0.5151655588951575,12.318082291500863
seq,wide,4096,16384,1,3,15.951716054230928,15.968681205064058,15.984238874167204,0.6572085265940324,1.0
mpi,wide,4096,16384,1,3,17.12103345617652,17.160294231027365,17.264380637556314,0.6116153976826886,0.9305598721140362
mpi,wide,4096,16384,2,3,8.601123865693808,8.617991279810667,8.701959863305092,0.608697081998085,1.8529470135893293
mpi,wide,4096,16384,4,3,4.646388400346041,4.654231868684292,4.659533940255642,0.567722316684624,3.431002506022171
mpi,wide,4096,16384,8,3,2.3866302631795406,2.3908126167953014,2.410143695771694,0.5546608850867055,6.679185601115337
mpi,wide,4096,16384,16,3,1.3397935554385185,1.3934710994362831,1.973472785204649,0.4836069283052506,11.459642910085506
seq,tall,16384,4096,1,3,15.938174646347761,15.95647044479847,16.041621640324593,0.6583945130099547,1.0
mpi,tall,16384,4096,1,3,17.127616703510284,17.139721397310495,17.167166505008936,0.6128805721067301,0.9309643998823868
mpi,tall,16384,4096,2,3,8.594340857118368,8.609739534556866,8.766555044800043,0.6095059866309717,1.853304665112582
mpi,tall,16384,4096,4,3,4.560878839343786,4.634765196591616,4.668533079326153,0.5710105840264097,3.4427786021464004
mpi,tall,16384,4096,8,3,2.391506399959326,2.4111503660678864,2.4332565143704414,0.5500371164177645,6.617783224702134
mpi,tall,16384,4096,16,3,1.3185908682644367,1.3249913416802883,1.6639119312167168,0.5037868160413785,12.042697897605327
