implementation,shape,ny,nx,seed,processes,run,time_seconds,compute_fraction
seq,square,4096,4096,42,1,1,0.62477199999557342,0.71473913684255341
seq,square,4096,4096,42,1,2,0.61318900001060683,0.73074370217916562
seq,square,4096,4096,42,1,3,0.62488899999880232,0.73069937219784153
seq,square,4096,4096,42,1,4,0.64422199998807628,0.71736916775846238
seq,square,4096,4096,42,1,5,0.61615400000300724,0.73608383617260964
seq,square,4096,4096,42,1,6,0.62523100001271814,0.73610553537752266
seq,square,4096,4096,42,1,7,0.62338600000657607,0.73105427456443473
seq,square,4096,4096,42,1,8,0.63001700000313576,0.73415161813309182
seq,square,4096,4096,42,1,9,0.62352900000405498,0.73250963465093399
seq,square,4096,4096,42,1,10,0.62321399999200366,0.73672927757983553
mpi,square,4096,4096,42,1,1,0.72781200000000001,0.62880111897028346
mpi,square,4096,4096,42,1,2,0.67414499999999999,0.68142610269304082
mpi,square,4096,4096,42,1,3,0.68204999999999993,0.67600615790631213
mpi,square,4096,4096,42,1,4,0.68638500000000002,0.67982691929456496
mpi,square,4096,4096,42,1,5,0.68327000000000004,0.67512110878569231
mpi,square,4096,4096,42,1,6,0.68546499999999999,0.67479010598644718
mpi,square,4096,4096,42,1,7,0.67660600000000004,0.684303715899652
mpi,square,4096,4096,42,1,8,0.68579800000000002,0.67786724370733087
mpi,square,4096,4096,42,1,9,0.68420200000000009,0.67877468934612872
mpi,square,4096,4096,42,1,10,0.67388800000000004,0.68038605821738907
mpi,square,4096,4096,42,2,1,0.37024799999999997,0.62592080347278312
mpi,square,4096,4096,42,2,2,0.38197699999999996,0.6086789745576987
mpi,square,4096,4096,42,2,3,0.38029200000000002,0.60966706509975943
mpi,square,4096,4096,42,2,4,0.38323099999999999,0.60904262953925647
mpi,square,4096,4096,42,2,5,0.37377199999999999,0.61752173057961135
mpi,square,4096,4096,42,2,6,0.37450300000000003,0.62208567167248174
mpi,square,4096,4096,42,2,7,0.39312200000000003,0.59108924126780016
mpi,square,4096,4096,42,2,8,0.39039499999999999,0.59468982344239307
mpi,square,4096,4096,42,2,9,0.40425699999999998,0.57446803246851241
mpi,square,4096,4096,42,2,10,0.38699200000000006,0.59858123037562494
mpi,square,4096,4096,42,4,1,0.24419100000000002,0.55189897775602903
mpi,square,4096,4096,42,4,2,0.24654000000000004,0.55421105401042836
mpi,square,4096,4096,42,4,3,0.23622699999999999,0.56884151176857034
mpi,square,4096,4096,42,4,4,0.23846999999999999,0.55812188575585275
mpi,square,4096,4096,42,4,5,0.24283299999999997,0.54932408668935018
mpi,square,4096,4096,42,4,6,0.27344099999999999,0.56042991442027523
mpi,square,4096,4096,42,4,7,0.24309100000000003,0.54755764461511358
