implementation,shape,ny,nx,processes,runs,min_seconds,median_seconds,max_seconds,median_compute_fraction,speedup
seq,square,4096,4096,1,10,0.6131890000106068,0.6241504999998142,0.6442219999880763,0.7317819546076844,1.0
mpi,square,4096,4096,1,10,0.673888,0.6837360000000001,0.727812,0.6783209665267298,0.912853060245203
mpi,square,4096,4096,2,10,0.37024799999999997,0.38260399999999994,0.404257,0.6088608020484776,1.6313224639570267
mpi,square,4096,4096,4,10,0.236227,0.242025,0.273441,0.5530550158832287,2.578867885548246
mpi,square,4096,4096,8,10,0.172703,0.17779899999999998,0.185888,0.5356133071833882,3.51042750521552
seq,wide,2048,8192,1,10,0.6416210000024876,0.6481179999973392,0.6563270000042394,0.7286578994709603,1.0
mpi,wide,2048,8192,1,10,0.6935870000000001,0.697087,0.707035,0.6775170564506838,0.9297519534826201
mpi,wide,2048,8192,2,10,0.38069,0.38889949999999995,0.4115,0.6101141943287774,1.6665436700158762
mpi,wide,2048,8192,4,10,0.24661600000000003,0.24923299999999998,0.25234300000000004,0.543599617739823,2.6004501811451104
mpi,wide,2048,8192,8,10,0.185722,0.19367600000000001,0.19996,0.5285719579096482,3.34640327142929
seq,tall,8192,2048,1,10,0.6472020000073826,0.6563890000034007,0.6613139999972191,0.7275188790563873,1.0
mpi,tall,8192,2048,1,10,0.701651,0.7048125000000001,0.718596,0.6737421988502958,0.9312959120381671
mpi,tall,8192,2048,2,10,0.389789,0.39521649999999997,0.40468200000000004,0.6045359901361638,1.6608339985891296
mpi,tall,8192,2048,4,10,0.24399300000000002,0.24620249999999996,0.256065,0.556067557961845,2.6660533504062744
mpi,tall,8192,2048,8,10,0.17946600000000001,0.1847495,0.188859,0.5446095212542936,3.552859412357818
