implementation,shape,ny,nx,seed,processes,run,time_seconds,compute_fraction
seq,square,256,256,42,1,1,0.0019150000007357448,0.77650131349462248
seq,square,256,256,42,1,2,0.0018969999946421012,0.76700052432153953
seq,square,256,256,42,1,3,0.001939000008860603,0.78184631097243074
seq,square,256,256,42,1,4,0.0018319999944651499,0.79312227554208847
seq,square,256,256,42,1,5,0.00181200000224635,0.7764900590984436
seq,square,256,256,42,1,6,0.0017850000003818423,0.78823529584402352
seq,square,256,256,42,1,7,0.0017890000017359853,0.79038568871115611
seq,square,256,256,42,1,8,0.001808000000892207,0.78816371361785775
seq,square,256,256,42,1,9,0.001808000000892207,0.78042034816841532
seq,square,256,256,42,1,10,0.0018029999919235706,0.77870216382702817
mpi,square,256,256,42,1,1,0.0021159999999999998,0.72495274102079355
mpi,square,256,256,42,1,2,0.0020299999999999997,0.7275862068965514
mpi,square,256,256,42,1,3,0.0019710000000000005,0.72146118721461194
mpi,square,256,256,42,1,4,0.0020900000000000007,0.70669856459330116
mpi,square,256,256,42,1,5,0.0019889999999999994,0.71744595274007072
mpi,square,256,256,42,1,6,0.0019849999999999989,0.70680100755667485
mpi,square,256,256,42,1,7,0.002,0.72150000000000036
mpi,square,256,256,42,1,8,0.0019510000000000005,0.72475653511019988
mpi,square,256,256,42,1,9,0.0019879999999999993,0.71227364185110631
mpi,square,256,256,42,1,10,0.002033000000000001,0.71273979340875593
mpi,square,256,256,42,2,1,0.0029040000000000003,0.2465116279069767
mpi,square,256,256,42,2,2,0.0022850000000000006,0.34208798424162878
mpi,square,256,256,42,2,3,0.0033369999999999997,0.2286827513861826
mpi,square,256,256,42,2,4,0.0033590000000000009,0.23552181033199318
mpi,square,256,256,42,2,5,0.0038140000000000014,0.21082994624360818
mpi,square,256,256,42,2,6,0.0035209999999999998,0.20977133929839528
mpi,square,256,256,42,2,7,0.0024270000000000003,0.32069249793899385
mpi,square,256,256,42,2,8,0.0023630000000000005,0.34236713952996023
mpi,square,256,256,42,2,9,0.0021559999999999999,0.3676641150545113
mpi,square,256,256,42,2,10,0.002503,0.29616306954436394
mpi,square,256,256,42,4,1,0.0038790000000000005,0.1240725208077941
mpi,square,256,256,42,4,2,0.0038100000000000009,0.13544241225902123
