implementation,shape,ny,nx,processes,runs,min_seconds,median_seconds,max_seconds,median_compute_fraction,speedup
seq,square,256,256,1,10,0.0017850000003818423,0.0018100000015692785,0.001939000008860603,0.781133329570423,1.0
mpi,square,256,256,1,10,0.0019510000000000005,0.0019944999999999997,0.002116,0.7194535699773413,0.907495613722376
mpi,square,256,256,2,10,0.002156,0.0027035,0.0038140000000000014,0.27133734872567034,0.6695024973439165
mpi,square,256,256,4,10,0.002400000000000003,0.0037985,0.004255999999999999,0.13116824373284797,0.47650388352488576
seq,wide,128,512,1,10,0.0018979999877046794,0.001975999999558553,0.0020499999955063686,0.7911796694277622,1.0
mpi,wide,128,512,1,10,0.0020280000000000003,0.002092,0.0021290000000000007,0.731429797849653,0.9445506690050445
mpi,wide,128,512,2,10,0.0026869999999999984,0.0033445000000000003,0.003573999999999999,0.23185227899976835,0.5908207503538804
mpi,wide,128,512,4,10,0.0034160000000000006,0.0036119999999999937,0.0044500000000000026,0.13416992283575363,0.5470653376407963
seq,tall,512,128,1,10,0.0019499999907566234,0.002002499997615814,0.0021960000012768432,0.7911859444117124,1.0
mpi,tall,512,128,1,10,0.0021399999999999995,0.0022544999999999996,0.005655,0.7301275489859225,0.8882235518366887
mpi,tall,512,128,2,10,0.0012730000000000016,0.003269000000000001,0.0035709999999999995,0.2412047523601163,0.6125726514578812
mpi,tall,512,128,4,10,0.0030859999999999985,0.0038214999999999985,0.007405,0.12650573400215476,0.5240088964060748
